,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Revit.ElementId
97,Plumbing Fixtures,,Fregadero de lavabo - Moderno,Fregadero de lavabo - Moderno: 440 x 350 mm,4,440 x 350 mm,,D2010.60,Accesorios de Fontanería,06bd4695-c692-4e49-b58b-68194067f901-0005cdcb
98,Plumbing Fixtures,,Fregadero de cocina - Uno,Fregadero de cocina - Uno: 760 x 535 mm,5,760 x 535 mm,,E2050.30,Muebles,06bd4695-c692-4e49-b58b-68194067f901-0005d149
99,Specialty Equipment,,Refrigerador,Refrigerador: 850 x 760mm,,850 x 760mm,,E1060.10,Electrodomésticos Residenciales,06bd4695-c692-4e49-b58b-68194067f901-0005d5bc
100,Specialty Equipment,,Cocina encimera - 2 fuegos,Cocina encimera - 2 fuegos: 305 x 457mm,,305 x 457mm,,E2050.30,Muebles,06bd4695-c692-4e49-b58b-68194067f901-0005d86f
101,Furniture,,Módulo de estantería,Módulo de estantería: 1000 x 400 mm,,1000 x 400 mm,,E2050.30,Muebles,8b3706fd-78af-469a-8beb-208f225cd6f7-0005dd20
102,Specialty Equipment,,Lavadora,Lavadora: 680 x 635 x 890mm,,680 x 635 x 890mm,,E1060.10,Electrodomésticos Residenciales,8b3706fd-78af-469a-8beb-208f225cd6f7-0005e1dd
103,Roofs,,Basic Roof,Basic Roof: Generic -70mm,,Generic -70mm,,B1020.20,Techos. Losas y Revestimientos del Techo,07697385-66aa-41c6-8b11-86ab95d15683-0005f445
104,Roofs,,Basic Roof,Basic Roof: Generic -70mm,,Generic -70mm,,B1020.20,Techos. Losas y Revestimientos del Techo,07697385-66aa-41c6-8b11-86ab95d15683-0005f823
105,Roofs,,Basic Roof,Basic Roof: Generic -70mm,,Generic -70mm,,B1020.20,Techos. Losas y Revestimientos del Techo,07697385-66aa-41c6-8b11-86ab95d15683-000602f5
106,Roofs: Gutters,,Gutter,Gutter: Gutter,,Gutter,,D2030.20,Tuberías de Drenaje de Aguas Pluviales,07697385-66aa-41c6-8b11-86ab95d15683-000604a0
